2014-12-12 10:35:44,296 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.htwg.se:Muehle:0.0.1-SNAPSHOT @ Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\pom.xml.
2014-12-12 10:35:45,497 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:35:45,512 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\main\resources
2014-12-12 10:35:45,512 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:35:45,528 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\test\resources
2014-12-12 10:35:45,700 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Muehle/src
2014-12-12 10:35:45,715 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Muehle/test
2014-12-12 10:35:46,277 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-12-12 10:35:46,386 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.htwg.se:Muehle:0.0.1-SNAPSHOT @ Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\pom.xml.
2014-12-12 10:35:46,948 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Muehle/src
2014-12-12 10:35:46,963 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Muehle/test
2014-12-12 10:35:47,774 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2014-12-12 10:35:48,055 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:35:48,071 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\main\resources
2014-12-12 10:35:48,071 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:35:48,071 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\test\resources
